EmployeeNo,Division,Qualification,Gender,Channel_of_Recruitment,Trainings_Attended,Year_of_birth,Last_performance_score,Year_of_recruitment,Targets_met,Previous_Award,Training_score_average,State_Of_Origin,Foreign_schooled,Marital_Status,Past_Disciplinary_Action,Previous_IntraDepartmental_Movement,No_of_previous_employers,Promoted_or_Not
YAK/S/26808,Information and Strategy,First Degree or HND,Female,Agency and others,2,1994,10,2015,0,0,79,FCT,Yes,Married,No,No,6,0
YAK/S/26809,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1976,12.5,2002,1,0,52,BAUCHI,Yes,Single,No,No,3,0
YAK/S/26812,Information Technology and Solution Support,MSc  MBA and PhD,Female,Direct Internal process,2,1984,5,2017,0,0,73,LAGOS,Yes,Married,No,No,1,0
YAK/S/26813,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1986,5,2013,0,0,50,KANO,Yes,Single,No,No,3,0
YAK/S/26814,Information and Strategy,First Degree or HND,Male,Direct Internal process,4,1995,7.5,2017,1,0,76,KADUNA,Yes,Single,No,No,1,0
YAK/S/26815,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1986,7.5,2011,0,0,58,OYO,Yes,Married,No,Yes,1,0
YAK/S/26817,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,3,1992,7.5,2012,1,0,39,ANAMBRA,Yes,Married,No,No,0,0
YAK/S/26818,Commercial Sales and Marketing,,Male,Agency and others,5,1994,0,2018,0,0,44,ENUGU,Yes,Married,No,Yes,3,0
YAK/S/26819,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1982,12.5,2012,1,0,55,KADUNA,Yes,Married,No,No,1,0
YAK/S/26820,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,3,1972,7.5,2007,0,0,61,EBONYI,Yes,Married,No,No,1,0
YAK/S/26822,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1988,12.5,2011,0,0,68,LAGOS,Yes,Married,No,No,1,1
YAK/S/26823,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1978,10,2013,1,0,56,EDO,Yes,Married,No,No,1,1
YAK/S/26824,Business Finance Operations,First Degree or HND,Male,Agency and others,2,1991,0,2018,1,0,57,LAGOS,Yes,Married,No,No,0,0
YAK/S/26827,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1978,12.5,2013,1,0,48,OSUN,Yes,Single,No,No,2,0
YAK/S/26828,Regulatory and Legal services,First Degree or HND,Male,Agency and others,2,1975,12.5,2008,1,0,54,CROSS RIVER,Yes,Single,No,No,1,0
YAK/S/26833,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1994,12.5,2016,1,0,39,ANAMBRA,Yes,Married,No,No,1,0
YAK/S/26834,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,2,1989,10,2013,0,0,73,LAGOS,Yes,Married,No,No,0,0
YAK/S/26835,People/HR Management,First Degree or HND,Female,Direct Internal process,2,1995,10,2016,1,0,39,BORNO,Yes,Married,No,No,3,0
YAK/S/26838,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1974,12.5,2013,1,0,52,OSUN,Yes,Single,No,No,1,0
YAK/S/26840,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,3,1991,7.5,2016,1,0,72,OSUN,Yes,Married,No,No,0,0
YAK/S/26842,Information and Strategy,First Degree or HND,Male,Agency and others,2,1988,7.5,2012,0,0,77,RIVERS,Yes,Married,No,No,1,0
YAK/S/26844,People/HR Management,MSc  MBA and PhD,Male,Direct Internal process,2,1975,7.5,2001,0,0,37,LAGOS,Yes,Married,No,No,3,0
YAK/S/26845,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1982,7.5,2012,1,0,57,RIVERS,Yes,Married,No,No,0,0
YAK/S/26846,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,4,1995,10,2017,0,0,37,ENUGU,Yes,Married,No,No,1,0
YAK/S/26848,Business Finance Operations,First Degree or HND,Male,Agency and others,2,1990,7.5,2012,0,0,44,JIGAWA,No,Married,No,No,1,0
YAK/S/26849,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1983,5,2015,1,0,41,KADUNA,Yes,Married,No,Yes,0,0
YAK/S/26850,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1988,7.5,2014,0,0,35,RIVERS,Yes,Not_Sure,No,No,1,0
YAK/S/26852,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1978,5,2010,0,0,43,LAGOS,Yes,Married,No,No,0,0
YAK/S/26853,Sourcing and Purchasing,First Degree or HND,Female,Direct Internal process,2,1989,7.5,2012,0,0,59,OSUN,Yes,Married,No,No,0,0
YAK/S/26854,Business Finance Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1988,7.5,2012,1,0,52,FCT,Yes,Married,No,No,1,0
YAK/S/26855,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,2,1966,12.5,2004,0,0,80,ZAMFARA,Yes,Married,No,No,1,1
YAK/S/26857,Information and Strategy,First Degree or HND,Male,Agency and others,2,1988,7.5,2009,1,0,77,IMO,Yes,Married,No,Yes,0,1
YAK/S/26858,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1982,10,2013,1,0,50,EKITI,Yes,Married,No,No,6,0
YAK/S/26863,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1984,10,2010,0,0,42,AKWA IBOM,No,Married,No,No,4,0
YAK/S/26864,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1973,7.5,2017,1,0,71,OGUN,Yes,Married,No,No,1,0
YAK/S/26865,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1991,7.5,2017,1,0,65,LAGOS,Yes,Married,No,No,3,0
YAK/S/26866,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,3,1989,7.5,2016,1,0,58,LAGOS,Yes,Single,No,No,1,0
YAK/S/26867,Information and Strategy,First Degree or HND,Male,Agency and others,2,1989,7.5,2015,0,0,74,JIGAWA,Yes,Married,No,No,0,0
YAK/S/26868,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1987,7.5,2016,1,0,57,KANO,Yes,Married,No,No,1,1
YAK/S/26870,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,3,1989,10,2013,0,0,48,KADUNA,Yes,Single,No,No,1,0
YAK/S/26871,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,2,1984,10,2014,0,0,69,FCT,Yes,Single,No,No,1,0
YAK/S/26872,Information and Strategy,First Degree or HND,Male,Direct Internal process,2,1992,7.5,2013,0,0,74,OYO,Yes,Married,No,Yes,1,0
YAK/S/26873,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1996,0,2018,1,0,51,ONDO,Yes,Single,No,No,0,0
YAK/S/26874,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,3,1977,10,2001,0,0,63,NIGER,Yes,Married,No,No,1,0
YAK/S/26875,Information and Strategy,First Degree or HND,Male,Direct Internal process,2,1995,12.5,2017,1,0,73,KADUNA,No,Married,No,No,3,0
YAK/S/26876,Business Finance Operations,First Degree or HND,Male,Direct Internal process,2,1985,7.5,2016,0,0,53,BORNO,Yes,Married,No,No,1,0
YAK/S/26877,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1985,2.5,2010,0,0,39,ANAMBRA,Yes,Married,No,No,0,0
YAK/S/26878,Regulatory and Legal services,First Degree or HND,Female,Agency and others,2,1996,12.5,2017,1,0,48,DELTA,Yes,Married,No,No,4,1
YAK/S/26882,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1990,7.5,2012,0,0,43,EKITI,Yes,Married,No,No,1,0
YAK/S/26884,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1972,10,1999,1,0,40,FCT,Yes,Single,No,No,0,0
YAK/S/26885,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1985,7.5,2015,0,0,49,GOMBE,Yes,Single,No,No,2,0
YAK/S/26887,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1992,10,2017,0,1,43,DELTA,Yes,Married,No,Yes,1,0
YAK/S/26888,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1986,2.5,2016,0,0,41,RIVERS,Yes,Married,No,No,0,0
YAK/S/26889,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1994,0,2018,0,0,41,BENUE,Yes,Single,No,No,1,0
YAK/S/26890,Business Finance Operations,First Degree or HND,Male,Direct Internal process,2,1991,7.5,2017,1,0,49,LAGOS,Yes,Married,No,No,1,0
YAK/S/26892,Information and Strategy,First Degree or HND,Male,Agency and others,3,1996,0,2018,0,0,78,KADUNA,Yes,Married,No,No,1,0
YAK/S/26893,Information and Strategy,First Degree or HND,Male,Agency and others,2,1988,12.5,2015,1,0,75,NIGER,Yes,Married,No,No,5,0
YAK/S/26894,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,5,1985,2.5,2015,0,0,44,DELTA,Yes,Married,No,No,1,0
YAK/S/26895,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1961,5,2009,0,0,51,KANO,Yes,Married,No,No,0,0
YAK/S/26897,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1975,12.5,2015,1,0,75,YOBE,Yes,Single,No,No,2,1
YAK/S/26898,Information Technology and Solution Support,,Female,Agency and others,2,1972,7.5,2008,1,0,75,RIVERS,Yes,Married,No,No,1,1
YAK/S/26899,Research and Innovation,MSc  MBA and PhD,Male,Direct Internal process,3,1982,12.5,2009,0,0,78,GOMBE,Yes,Single,No,No,1,0
YAK/S/26900,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Direct Internal process,2,1981,2.5,2010,0,0,42,CROSS RIVER,Yes,Married,No,No,0,0
YAK/S/26906,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1988,7.5,2009,0,0,40,OSUN,Yes,Married,No,No,0,0
YAK/S/26907,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1976,2.5,1999,0,0,41,LAGOS,Yes,Married,No,No,1,0
YAK/S/26908,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1996,0,2018,0,0,37,NIGER,Yes,Married,No,No,0,0
YAK/S/26909,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1984,10,2013,1,0,39,SOKOTO,Yes,Married,No,Yes,1,1
YAK/S/26910,Business Finance Operations,First Degree or HND,Male,Direct Internal process,3,1994,0,2018,0,0,49,ONDO,No,Single,No,No,1,0
YAK/S/26911,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1983,12.5,2013,0,0,38,OGUN,Yes,Married,No,Yes,1,0
YAK/S/26913,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1994,2.5,2015,0,0,54,FCT,Yes,Married,No,No,1,0
YAK/S/26914,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1990,10,2012,1,0,55,SOKOTO,Yes,Married,No,No,3,0
YAK/S/26915,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1988,12.5,2014,1,0,42,KANO,Yes,Married,No,No,4,0
YAK/S/26916,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1991,2.5,2014,0,0,46,RIVERS,Yes,Married,No,No,4,0
YAK/S/26917,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1982,7.5,2017,0,0,65,LAGOS,Yes,Single,No,Yes,1,0
YAK/S/26918,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1992,10,2016,1,0,71,KADUNA,No,Married,No,No,0,0
YAK/S/26919,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,3,1999,0,2018,0,0,71,ONDO,Yes,Married,No,Yes,1,0
YAK/S/26923,People/HR Management,First Degree or HND,Male,Direct Internal process,2,1995,10,2015,0,0,42,LAGOS,Yes,Married,No,Yes,1,0
YAK/S/26924,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1989,12.5,2016,0,0,49,NIGER,Yes,Married,No,No,1,0
YAK/S/26926,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1990,12.5,2012,0,0,63,BENUE,Yes,Married,No,No,1,0
YAK/S/26928,People/HR Management,MSc  MBA and PhD,Female,Referral and Special candidates,2,1984,7.5,2011,0,0,38,KADUNA,Yes,Married,No,No,0,0
YAK/S/26929,Business Finance Operations,MSc  MBA and PhD,Female,Agency and others,2,1986,7.5,2014,0,0,55,EDO,Yes,Married,No,No,0,0
YAK/S/26931,Regulatory and Legal services,First Degree or HND,Female,Agency and others,2,1991,0,2018,0,0,52,LAGOS,Yes,Married,No,No,1,0
YAK/S/26933,Commercial Sales and Marketing,,Male,Agency and others,2,1993,2.5,2017,0,0,43,BENUE,Yes,Married,No,No,1,0
YAK/S/26934,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,4,1991,7.5,2016,0,0,63,JIGAWA,Yes,Married,No,No,1,0
YAK/S/26936,Commercial Sales and Marketing,,Male,Direct Internal process,2,1996,7.5,2017,0,0,42,FCT,No,Single,No,No,1,0
YAK/S/26937,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1988,7.5,2012,0,0,41,RIVERS,Yes,Married,No,No,2,0
YAK/S/26938,Information Technology and Solution Support,MSc  MBA and PhD,Female,Agency and others,2,1988,2.5,2012,0,0,69,LAGOS,Yes,Married,No,No,1,0
YAK/S/26939,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1962,7.5,2002,0,0,42,KWARA,Yes,Married,No,No,2,0
YAK/S/26940,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1962,2.5,2013,0,0,39,FCT,Yes,Single,No,No,1,0
YAK/S/26942,Commercial Sales and Marketing,,Male,Direct Internal process,3,1995,7.5,2016,0,0,41,KATSINA,No,Married,No,Yes,2,0
YAK/S/26945,Sourcing and Purchasing,,Male,Agency and others,2,1988,2.5,2017,0,0,63,RIVERS,Yes,Married,No,Yes,1,0
YAK/S/26947,Business Finance Operations,MSc  MBA and PhD,Male,Agency and others,2,1988,7.5,2016,0,0,51,OYO,Yes,Married,No,No,0,0
YAK/S/26948,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1981,5,2016,0,0,44,OYO,Yes,Married,No,No,0,0
YAK/S/26949,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1989,7.5,2017,0,0,38,KWARA,Yes,Single,No,No,1,0
YAK/S/26950,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,3,1994,10,2017,1,0,41,ANAMBRA,Yes,Married,No,No,1,0
YAK/S/26951,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1980,12.5,2013,0,0,59,IMO,Yes,Married,No,No,0,1
YAK/S/26952,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1990,7.5,2015,0,0,42,RIVERS,Yes,Single,No,No,1,0
YAK/S/26954,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1987,12.5,2016,1,0,45,ENUGU,Yes,Married,No,No,1,0
YAK/S/26955,Information and Strategy,First Degree or HND,Male,Direct Internal process,3,1986,7.5,2015,0,0,74,OGUN,Yes,Married,No,No,2,0
YAK/S/26956,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,2,1991,2.5,2016,0,0,68,FCT,Yes,Married,No,No,0,0
YAK/S/26957,Business Finance Operations,First Degree or HND,Male,Agency and others,2,1989,5,2013,0,0,49,NIGER,No,Married,No,No,0,0
YAK/S/26958,Information and Strategy,First Degree or HND,Male,Direct Internal process,3,1992,10,2015,0,0,81,KADUNA,Yes,Married,No,No,5,0
YAK/S/26959,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1975,7.5,2014,1,0,57,RIVERS,Yes,Married,No,Yes,1,0
YAK/S/26963,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1986,2.5,2012,0,0,54,LAGOS,Yes,Married,No,No,5,0
YAK/S/26964,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,3,1990,7.5,2015,0,0,59,KWARA,Yes,Married,No,Yes,4,0
YAK/S/26965,Commercial Sales and Marketing,,Male,Agency and others,2,1994,12.5,2016,0,0,42,FCT,No,Married,No,No,0,0
YAK/S/26966,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1989,10,2012,1,0,81,RIVERS,Yes,Married,No,No,1,1
YAK/S/26967,Information and Strategy,First Degree or HND,Male,Direct Internal process,2,1987,10,2012,1,0,83,NASSARAWA,Yes,Single,No,No,1,0
YAK/S/26969,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1977,7.5,2004,0,0,63,DELTA,Yes,Single,No,No,0,0
YAK/S/26970,People/HR Management,First Degree or HND,Male,Agency and others,2,1993,10,2016,0,0,39,KADUNA,Yes,Married,No,Yes,1,0
YAK/S/26971,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,4,1990,10,2011,0,0,44,ABIA,Yes,Single,No,No,1,0
YAK/S/26972,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1971,12.5,2010,1,0,51,ABIA,Yes,Married,No,No,1,0
YAK/S/26975,Information Technology and Solution Support,First Degree or HND,Female,Direct Internal process,2,1995,0,2018,1,0,73,KOGI,Yes,Married,Yes,No,0,0
YAK/S/26976,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1989,10,2013,1,0,48,KADUNA,Yes,Single,No,No,0,0
YAK/S/26977,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1987,7.5,2014,0,0,36,PLATEAU,Yes,Single,No,Yes,0,0
YAK/S/26978,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1987,5,2012,1,0,51,YOBE,Yes,Single,No,No,1,0
YAK/S/26979,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1988,12.5,2012,1,0,45,EDO,Yes,Married,No,No,3,0
YAK/S/26980,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1979,12.5,2015,0,0,43,FCT,No,Married,No,No,1,0
YAK/S/26981,People/HR Management,First Degree or HND,Female,Direct Internal process,2,1992,12.5,2013,0,0,44,LAGOS,Yes,Married,No,No,0,0
YAK/S/26982,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1990,7.5,2013,0,0,51,BORNO,Yes,Married,No,No,1,0
YAK/S/26983,Business Finance Operations,First Degree or HND,Male,Agency and others,4,1989,2.5,2013,0,0,57,OGUN,Yes,Married,No,No,0,0
YAK/S/26984,Information Technology and Solution Support,First Degree or HND,Female,Agency and others,3,1992,12.5,2016,1,0,71,DELTA,Yes,Married,No,No,1,0
YAK/S/26985,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,2,1978,7.5,2014,1,0,60,BAUCHI,Yes,Single,No,No,0,0
YAK/S/26986,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1980,2.5,2008,0,0,41,ADAMAWA,Yes,Married,No,Yes,1,0
YAK/S/26987,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1982,7.5,2012,0,0,41,SOKOTO,Yes,Married,No,No,1,0
YAK/S/26988,Customer Support and Field Operations,,Male,Agency and others,2,1988,7.5,2012,0,0,48,ENUGU,Yes,Married,No,Yes,0,0
YAK/S/26989,People/HR Management,First Degree or HND,Female,Agency and others,2,1981,5,2014,0,0,42,KADUNA,No,Married,No,No,1,0
YAK/S/26991,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1988,10,2015,0,0,42,LAGOS,Yes,Married,No,Yes,1,0
YAK/S/26992,Customer Support and Field Operations,First Degree or HND,Male,Direct Internal process,2,1970,7.5,1999,0,0,50,LAGOS,Yes,Single,No,No,5,0
YAK/S/26993,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1976,7.5,2014,0,0,53,NIGER,Yes,Married,No,No,1,0
YAK/S/26994,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1996,7.5,2017,0,0,42,NIGER,Yes,Single,No,No,1,0
YAK/S/26995,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1983,2.5,2016,0,0,43,LAGOS,Yes,Married,No,No,1,0
YAK/S/26996,Business Finance Operations,First Degree or HND,Female,Agency and others,3,1986,2.5,2012,1,1,56,SOKOTO,No,Married,No,No,1,0
YAK/S/26997,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1988,5,2012,1,0,42,BENUE,Yes,Single,No,No,1,0
YAK/S/26998,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1982,12.5,2009,1,0,67,RIVERS,Yes,Married,No,No,1,0
YAK/S/26999,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,3,1993,7.5,2018,0,0,51,KATSINA,No,Married,No,No,1,0
YAK/S/27000,Information and Strategy,First Degree or HND,Male,Direct Internal process,2,1991,12.5,2013,1,0,77,OSUN,Yes,Married,No,Yes,0,0
YAK/S/27002,Sourcing and Purchasing,MSc  MBA and PhD,Male,Direct Internal process,2,1973,7.5,2011,1,0,63,KANO,Yes,Married,No,Yes,0,0
YAK/S/27003,Sourcing and Purchasing,MSc  MBA and PhD,Male,Agency and others,2,1969,12.5,2008,1,0,62,KWARA,Yes,Married,No,Yes,1,1
YAK/S/27004,Commercial Sales and Marketing,,Male,Agency and others,2,2000,12.5,2017,0,0,37,LAGOS,No,Married,No,No,1,0
YAK/S/27005,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1972,7.5,2014,0,0,52,KANO,Yes,Married,No,No,3,0
YAK/S/27007,Information Technology and Solution Support,Non University Education,Male,Agency and others,2,1997,10,2017,1,0,74,OGUN,Yes,Married,No,No,0,0
YAK/S/27010,Information and Strategy,First Degree or HND,Male,Agency and others,2,1969,5,2002,0,0,77,LAGOS,Yes,Married,No,No,1,0
YAK/S/27012,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1983,7.5,2008,1,0,44,ZAMFARA,Yes,Married,No,No,0,0
YAK/S/27013,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1983,7.5,2014,0,0,43,LAGOS,Yes,Married,No,No,1,0
YAK/S/27014,Customer Support and Field Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1983,7.5,2012,0,0,54,FCT,Yes,Married,No,No,1,0
YAK/S/27015,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1981,10,2010,0,0,50,EDO,Yes,Married,No,No,0,0
YAK/S/27016,Commercial Sales and Marketing,,Male,Agency and others,2,1988,7.5,2015,1,0,41,DELTA,Yes,Married,No,No,1,0
YAK/S/27017,Business Finance Operations,First Degree or HND,Male,Direct Internal process,3,1989,7.5,2012,0,0,52,ANAMBRA,Yes,Married,No,No,2,0
YAK/S/27019,Customer Support and Field Operations,MSc  MBA and PhD,Male,Agency and others,2,1981,10,2008,1,0,49,RIVERS,Yes,Married,No,No,0,0
YAK/S/27020,People/HR Management,First Degree or HND,Male,Agency and others,2,1963,7.5,1991,0,0,39,EDO,Yes,Married,No,No,5,0
YAK/S/27022,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,3,1969,7.5,2016,0,1,90,IMO,Yes,Married,No,No,0,1
YAK/S/27025,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1992,2.5,2015,0,0,42,LAGOS,Yes,Married,No,Yes,0,0
YAK/S/27027,Research and Innovation,First Degree or HND,Male,Direct Internal process,2,1989,7.5,2015,1,0,77,ABIA,Yes,Married,No,No,2,0
YAK/S/27028,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1995,0,2018,1,0,41,EKITI,Yes,Married,No,No,1,0
YAK/S/27029,Customer Support and Field Operations,First Degree or HND,Female,Direct Internal process,2,1986,12.5,2012,0,0,52,FCT,Yes,Married,No,No,1,0
YAK/S/27031,Regulatory and Legal services,First Degree or HND,Male,Direct Internal process,2,1994,0,2018,1,0,54,LAGOS,Yes,Married,No,No,4,0
YAK/S/27032,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1977,7.5,2016,0,0,68,ANAMBRA,Yes,Single,No,Yes,0,1
YAK/S/27033,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1963,7.5,2010,0,0,58,KATSINA,Yes,Married,No,No,1,1
YAK/S/27034,Customer Support and Field Operations,MSc  MBA and PhD,Female,Direct Internal process,2,1970,7.5,2014,1,0,49,KOGI,Yes,Single,No,Yes,1,0
YAK/S/27035,People/HR Management,First Degree or HND,Female,Referral and Special candidates,2,1993,5,2017,1,0,44,OGUN,Yes,Married,No,No,1,1
YAK/S/27037,Business Finance Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1988,7.5,2013,1,0,53,EBONYI,Yes,Married,No,No,2,0
YAK/S/27040,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1992,12.5,2017,0,0,84,ONDO,Yes,Married,No,No,3,1
YAK/S/27042,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1991,7.5,2017,0,0,75,PLATEAU,Yes,Married,No,Yes,0,0
YAK/S/27045,Business Finance Operations,First Degree or HND,Female,Direct Internal process,3,1995,0,2018,1,0,54,ZAMFARA,Yes,Married,No,No,0,0
YAK/S/27046,Business Finance Operations,First Degree or HND,Male,Direct Internal process,2,1982,7.5,2015,0,0,53,PLATEAU,Yes,Married,No,No,1,0
YAK/S/27047,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1983,7.5,2012,1,0,41,LAGOS,Yes,Married,No,No,1,0
YAK/S/27048,Customer Support and Field Operations,MSc  MBA and PhD,Female,Agency and others,2,1971,7.5,2014,1,0,54,LAGOS,Yes,Married,No,Yes,0,0
YAK/S/27050,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,3,1986,7.5,2016,1,0,63,KWARA,Yes,Single,No,No,2,0
YAK/S/27051,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1993,10,2015,0,0,47,DELTA,Yes,Married,No,No,0,0
YAK/S/27052,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1986,7.5,2012,0,0,59,NIGER,No,Single,No,No,2,0
YAK/S/27053,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,4,1987,7.5,2011,0,0,41,OGUN,Yes,Married,No,No,4,0
YAK/S/27054,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,3,1990,12.5,2014,1,0,42,YOBE,Yes,Married,No,No,0,0
YAK/S/27055,Sourcing and Purchasing,First Degree or HND,Female,Agency and others,2,1994,12.5,2017,1,0,63,FCT,Yes,Married,No,No,1,0
YAK/S/27057,Sourcing and Purchasing,MSc  MBA and PhD,Female,Agency and others,2,1963,7.5,2007,1,0,61,ANAMBRA,Yes,Married,No,No,1,1
YAK/S/27059,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1991,7.5,2014,0,0,44,LAGOS,Yes,Single,No,No,1,0
YAK/S/27060,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Direct Internal process,2,1986,5,2015,0,0,38,LAGOS,Yes,Married,No,No,1,0
YAK/S/27062,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1994,7.5,2018,0,0,44,RIVERS,Yes,Married,No,Yes,0,0
YAK/S/27063,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1995,12.5,2017,0,0,55,KEBBI,Yes,Single,No,No,2,0
